210, Train Instance Accuracy: 0.359848, Test Instance Accuracy: 0.127415, Best Instance Accuracy: 0.352657
211, Train Instance Accuracy: 0.371212, Test Instance Accuracy: 0.099034, Best Instance Accuracy: 0.352657
212, Train Instance Accuracy: 0.390152, Test Instance Accuracy: 0.084541, Best Instance Accuracy: 0.352657
213, Train Instance Accuracy: 0.356061, Test Instance Accuracy: 0.113527, Best Instance Accuracy: 0.352657
214, Train Instance Accuracy: 0.367424, Test Instance Accuracy: 0.099034, Best Instance Accuracy: 0.352657
215, Train Instance Accuracy: 0.397727, Test Instance Accuracy: 0.099034, Best Instance Accuracy: 0.352657
216, Train Instance Accuracy: 0.382576, Test Instance Accuracy: 0.099034, Best Instance Accuracy: 0.352657
217, Train Instance Accuracy: 0.390152, Test Instance Accuracy: 0.085145, Best Instance Accuracy: 0.352657
218, Train Instance Accuracy: 0.352273, Test Instance Accuracy: 0.056159, Best Instance Accuracy: 0.352657
219, Train Instance Accuracy: 0.371212, Test Instance Accuracy: 0.099034, Best Instance Accuracy: 0.352657
220, Train Instance Accuracy: 0.367424, Test Instance Accuracy: 0.099034, Best Instance Accuracy: 0.352657
221, Train Instance Accuracy: 0.382576, Test Instance Accuracy: 0.099034, Best Instance Accuracy: 0.352657
222, Train Instance Accuracy: 0.359848, Test Instance Accuracy: 0.113527, Best Instance Accuracy: 0.352657
223, Train Instance Accuracy: 0.375000, Test Instance Accuracy: 0.128019, Best Instance Accuracy: 0.352657
224, Train Instance Accuracy: 0.382576, Test Instance Accuracy: 0.141908, Best Instance Accuracy: 0.352657
225, Train Instance Accuracy: 0.375000, Test Instance Accuracy: 0.155797, Best Instance Accuracy: 0.352657
226, Train Instance Accuracy: 0.375000, Test Instance Accuracy: 0.141304, Best Instance Accuracy: 0.352657
227, Train Instance Accuracy: 0.321970, Test Instance Accuracy: 0.112923, Best Instance Accuracy: 0.352657
228, Train Instance Accuracy: 0.352273, Test Instance Accuracy: 0.099034, Best Instance Accuracy: 0.352657
